filename,algorithm,original size,compressed size,compression ratio,compress time,decompress time,dictionary size
E.coli,LZW,4638690,3184280,68.65,4117818,1637329,512
E.coli,LZW,4638690,2523088,54.39,3395905,1121726,1023
E.coli,LZW,4638690,1917598,41.34,3283832,888798,4095
E.coli,LZW,4638690,1448820,31.23,3768575,797144,32767
E.coli,LZW,4638690,1342580,28.94,4019768,774184,65535
world192.txt,LZW,2473400,3375010,136.45,3077275,1645115,512
world192.txt,LZW,2473400,2730458,110.39,2189973,1084400,1023
world192.txt,LZW,2473400,2009608,81.25,1955438,782502,4095
world192.txt,LZW,2473400,1254410,50.72,2350067,587227,32767
world192.txt,LZW,2473400,1076126,43.51,2504441,562617,65535
Randomdata,LZW,4638690,9259582,199.62,10412246,4129047,512
Randomdata,LZW,4638690,9223494,198.84,9905438,3159587,1023
Randomdata,LZW,4638690,9019448,194.44,18020898,2780270,4095
Randomdata,LZW,4638690,7659324,165.12,93567826,2532631,32767
Randomdata,LZW,4638690,6786678,146.31,143463161,2429466,65535
